sonstiges,numberofrooms,time_dest3,provision1,hascourtage,provision2,creation,realtorcompanyname,contphonenumber,currency,listingtype,companywidecustomerid,contsalutation,lng,balcony,city,media_count,district,title,entry_land2,entry_land1,guesttoilet,privateoffer,housenumber,retype,zip_code,contfirstname,cellar,objektbeschreibung,garden,contcompany,land_transfer2,land_transfer1,streamingvideo,livingspace,contlastname,time_dest,realtorlogo,lift,address,lat,spotlightlisting,kitchen,immo_id,floorplan,criteriagroup,notary2,contname,time_dest2,notary1,value,url,precisehousenumber,street,marketingtype,isbarrierfree,priceintervaltype
"Wir sind für Sie da – beim Vermögensaufbau, bei der Altersvorsorge und der Eigentumsbildung!

INDUSTRIA WOHNEN wurde 1954 gegründet und betreut heute deutschlandweit mehr als 16.000 Wohnungen. Als Tochtergesellschaft der Degussa Bank realisieren wir unsere Investitionen gemeinsam mit dem Verbund der M.M.Warburg  Aufgrund unserer umfassenden Erfahrungen kennen wir nicht nur die Potenziale des deutschen Wohnungsmarktes, sondern auch die Chancen, die mit ihm verbunden sind. Daher bieten wir unseren Kunden mehr als nur einen Ort oder ein Objekt zur Investition.

Gemeinsam mit der Degussa Bank bieten wir Ihnen ein abgerundetes Angebot für Ihre Investition, egal ob Sie die Immobilie selbst nutzen möchten oder ob Sie auf der Suche nach einer attraktiven, wertbeständigen Kapitalanlage sind.

- Sie erhalten individuelle und günstige Finanzierungsvorschläge: Mit dem richtigen Tilgungskonzept, attraktiven Konditionen und bis zu 100%-Finanzierung des Kaufpreises.
- Die gesamte Abwicklung des Immobilienerwerbs erfolgt mit einem Ansprechpartner. Dies führt zu Kosten- und Zeitersparnis, denn Kauf und Finanzierung gehen hierbei Hand in Hand.

Weitere Informationen erhalten sie unter www.degussa-bank.de",4,,0,NO,0,2019-11-05T20:41:40.772+01:00,INDUSTRIA WOHNEN GmbH,0351 65619590,,L,,FEMALE,7.54336,true,,16,Scharnhorst,Renovierte Wohnung mit offenem Esszimmer zur Eigennutzung!,0.5,494.1158,false,false,,search:ApartmentBuy,44328,Bettina,false,"Die Gebäude mit 3- bis 6-Zimmerwohnungen bieten attraktive Grundrisse. Die Liegenschaft wurde 1968 in Massivbauweise errichtet und ist mit einem Kellergeschoss und 3 Vollgeschossen ausgestattet. Die Wohnungen besitzen Größen von ca. 55 m2 bis 106 m2 Wohnfläche. Bad mit Wanne, Balkon oder Terrasse mit Garten und ein zu jeder Wohnung gehörender Kellerraum bieten den notwendigen Komfort.",false,INDUSTRIA WOHNEN GmbH,6.5,6.4235054,false,72.16,Tennhard,,https://pictures.immobilienscout24.de/usercontent/4b6fc4a1-193c-4100-87d7-c3f04bc8efe2.JPG,false,Dortmund Borchertweg 4,51.54834,false,false,113031744,true,1968,1.5,Bettina Tennhard,,1.4823474,,https://www.immobilienscout24.de/expose/113031744,,,,false,
,3.5,,4248.3,YES,3.57,2019-11-05T20:41:40.773+01:00,Profimo Concept GmbH,0176 56695750,,M,,FEMALE,,true,,24,Bövinghausen,"3,5 Zimmer ETW mit Balkon ~ Schwimmbad ~ Sauna",0.5,595,true,false,,search:ApartmentBuy,44388,Jeanne,true,"Sie sind auf der Suche nach einer hellen und gemütlichen 3,5-Zimmer-Wohnung in Dortmund-Bövinghausen?
Dann ist diese Eigentumswohnung genau das Richtige für Sie!

Die Wohnung befindet sich in einem sehr gepflegten Mehrfamilienhaus (Erbpachtgrundstück) in toller Lage.
Mit einem Personenaufzug gelangen Sie bequem in das 2. Obergeschoss.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Mit ca. 85 m² Wohnfläche bietet die Wohnung ein geräumiges Wohnzimmer mit direktem Zugang auf den großen und sonnigen Balkon, ein Schlafzimmer und ein Kinderzimmer.
Des Weiteren verfügt die Wohnung über eine separate Küche mit angrenzendem Essbereich. Bei Bedarf können diese Räumlichkeiten zu einem offenen Koch-/Essbereich verbunden werden.
Das Tageslicht-Badezimmer ist mit einer Dusche, einem WC, sowie einem Waschmaschinenanschluss ausgestattet. Ein Gäste-WC finden Sie neben dem Eingangsbereich. Der Flur bietet Ihnen genügend Stellfläche für eine Garderobe, Schuhschrank, etc.
Die Wohnung wurde mit Echtholz-Parkett, Laminat, Fliesen und Teppich ausgestattet.

Im Kellergeschoss befindet sich ein Kellerraum, sowie ein Trockenraum.
Ein weiteres Highlight ist die gemeinschaftliche Wellness-Oase, hierzu zählt eine Saune, ein großes Schwimmbad, sowie Dusch-/und WC-Anlagen.

Zu dieser Wohnung gehört ein Tiefgaragen-Stellplatz.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Das Objekt wurde stets modernisiert. 
!!Ein wirklich überzeugender Gesamteindruck!!

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Bei Interesse können Sie gerne mit uns einen Besichtigungstermin vereinbaren.",false,Profimo Concept GmbH,6.5,7.735,false,85,Beck,,https://pictures.immobilienscout24.de/usercontent/201a3200-2d05-4cae-8548-0179d61d7837.PNG,false,,,false,true,113084594,true,1974,1.5,Jeanne Beck,,1.785,,https://www.immobilienscout24.de/expose/113084594,,,,false,
,3,,3920,YES,3.5,2019-11-05T20:41:40.774+01:00,Homeday GmbH,,,M,,MALE,,false,,15,Hörde,Interessante Dachgeschoss Maisonette in attraktivem Viertel in Hörde ,0.5,560,false,false,,search:ApartmentBuy,44263,Torsten,false,,false,Homeday GmbH,6.5,7.28,false,65,Weinert,,https://pictures.immobilienscout24.de/usercontent/c3a054e0-03ff-4c96-a0ad-d7191b0f8a64.PNG,false,,,false,false,113587733,true,1911,1.5,Torsten Weinert,,1.68,,https://www.immobilienscout24.de/expose/113587733,,,,false,
"Aus rechtlichen Gründen weisen wir darauf hin, dass für die Exposéangaben keine Haftung oder Gewähr übernommen werden kann. Maßgeblich sind allein die zwischen Verkäufer und Käufer im notariellen Kaufvertrag getroffenen Vereinbarungen. Die Exposéveröffentlichung erfolgt freibleibend.",2,,6140.4,YES,4.76,2019-11-05T20:41:40.773+01:00,Immobilien DUIS,02309 7851977,,M,,FEMALE,7.41946,true,,13,Huckarde,Topangebot! Barrierefreie EG-ETW in Topzustand!!!,0.5,645,false,false,,search:ApartmentBuy,44369,Silke,false,"Bitte beachten Sie, dass Voraussetzung für den Bezug der Wohnung ist, dass der/die Bewohner/in mindestens 55 Jahre alt ist, oder einen besonderen Betreuungsbedarf nachweisen kann. 

Eine so moderne und hübsche seniorengerechte Wohnung, welche dann sogar auch noch im Erdgeschoss liegt, ist seltener als eine Perle!

Die gesamte Anlage ist sehr ansprechend erbaut. 
Es gilt: ""Alles kann, nichts muss.""

Sie können die Wohnung ohne Pflegeangebote nutzen, oder aber einzelne Bereiche buchen. 
Wie auch immer sich Ihr gesundheitlicher Zustand entwickelt, Sie können für jeden Bereich direkt Hilfe erhalten und genießen so ein 
Rund-um-Sorglos-Paket.

Die Wohnanlage liegt schön und wurde mit viel Grünflächen konzipiert.

Die Wohnung befindet sich im Erdgeschoss, sodass Sie sogar über eine eigene Terrasse verfügen.
Die Räume sind freundlich und hell.
Die Küche ist bereits vorhanden.

Das Badezimmer ist modern und behindertengerecht.

Die Aufteilung der Wohnung wurde optimal gestaltet.
Nach dem schönen und großzügigen Flurbereich öffnet sich der Wohn-/Essbereich. 
Vom Wohnzimmer kann man direkt auf die Terrasse gehen. 

Die Wohnung ist mit Notrufknöpfen ausgestattet.

Regelmäßig werden zudem gemeinschaftliche Fahrten, Reisen, Unternehmungen und kulturelle Highlights angeboten.
Wer lieber seine Ruhe pflegen möchte, macht es sich in seinen eigenen vier Wänden gemütlich und wem es nach Gesellschaft verlangt, kann dies direkt vor der Tür in den Gemeinschaftsräumen der Anlage finden.

Die Caritas bietet unterschiedliche Pflege- und Serviceangebote an, welche einzeln gebucht werden können. Hierfür fällt dann individuell eine entsprechende monatliche Gebühr an.",true,Immobilien DUIS,6.5,8.385,false,59,Duis,,https://pictures.immobilienscout24.de/usercontent/a72b59bc-b15e-4521-b782-1b41688e3cc4.JPG,true,Dortmund Roßbachstr. 40 c,51.53006,false,true,109426963,true,2001,1.5,Silke Duis,,1.935,,https://www.immobilienscout24.de/expose/109426963,,,,true,
"Haben wir Ihr Interesse für diese Wohnung geweckt? 
Vereinbaren Sie mit uns Ihren individuellen Besichtigungstermin. Geben Sie bei Anfragen über das Kontaktformular Iher Telefonnummer an, damit wir Sie zur Terminabstimmung zurückrufen können.
",3,,0,YES,0,2019-11-05T20:41:40.773+01:00,Immobilien & Service  Richter e.K.,0231 95007300,,M,,NO_SALUTATION,,true,,8,Oestrich,3 Zi. ETW in Do Oestrich - solides Objekt auch zur Kapitalanlage,0.5,490,false,false,,search:ApartmentBuy,44357,Team,false,"Die Eigentümergemeinschaft besteht aus mehreren Häusern mit insgesamt 120 Wohneinheiten. 
Die Wohnanlage ist im Jahr 1973 errichtet worden. Des weiteren gehören 54 Tiefgaragenstellplätze und 66 KFZ Stellplätze dazu. Die hier angebotene Eigentumswohnung befindet sich in einem Haus mit 5 Wohneinheiten in der dritten Etage rechts. Ein  abschließbares Kellerabteil gehört zur Wohnung, außerdem ein Einstellplatz in der Tiefgarage.
",false,Immobilien & Service  Richter e.K.,6.5,6.37,false,76.24,Immobilien & Service,,https://pictures.immobilienscout24.de/usercontent/a8984bac-bb22-42c5-b40d-4a42e3f86517.JPG,false,,,false,false,113072507,false,1973,1.5,Team Immobilien & Service,,1.47,,https://www.immobilienscout24.de/expose/113072507,,,,false,
"VERBRAUCHERINFO
1. Maklerleistung ist der Nachweis der Gelegenheit zum Abschluss eines Vertrages bzw. Vermittlung eines Vertrages über eine Immobilie gegen die Courtagezahlungspflicht des Kunden
2. Unternehmer,Anschrift,Beschwerdeadressat
LBSi NordWest,Himmelreichallee 40,48149 Münster,Tel:0251/4124774,Fax:0251/4124799,eMail:info@lbsi-nordwest.de
GF:Roland Hustert,Helmut Steinkamp
3. Es besteht ein Widerrufsrecht
4. Weitere Infos: verbraucherinfo.lbsi-nordwest.de",2.5,,4569.6,YES,3.57,2019-11-05T20:41:40.774+01:00,Sparkasse Dortmund,0231 18329216,,M,,MALE,,true,,7,Lücklemberg,Wohnen in gefragter Lage!,0.5,640,false,false,,search:ApartmentBuy,44229,Maik,true,"Sie entdecken diese für Singles, Paare und Kapitalanleger interessante Wohnung im gehobenen Dortmunder Stadtteil Lücklemberg.

Im ersten Obergeschoss gelegen, verteilt sich die Wohnfläche von ca. 63 m² dieser gepflegten Wohnung wie folgt:
Aus der Diele erreichen Sie das Wohnzimmer mit Essecke, das Schlafzimmer, die Küche mitsamt des Abstellraumes sowie das innenliegende Badezimmer mit Badewanne.
Aus dem Wohnzimmer erreichen Sie den ideal ausgerichteten Südbalkon.

Der direkt am Haus gelegene Stellplatz und der Kellerraum runden dieses Angebot bestens ab.

Das monatliche Wohngeld in Höhe von 228 € beinhaltet bereits die Heizkosten wie auch die Kosten für die Hausreinigung, den Winterdienst und die Gartenpflege.",false,Sparkasse Dortmund,6.5,8.32,false,63.34,Wlodarsch,,https://pictures.immobilienscout24.de/usercontent/53ea6e66-55b5-427e-b2e5-a59f6bfc7167.JPG,false,,,false,true,114010515,false,1971,1.5,Maik Wlodarsch,,1.92,,https://www.immobilienscout24.de/expose/114010515,,,,false,
,2,,5215,YES,3.5,2019-11-05T20:41:40.774+01:00,Homeday GmbH,,,M,,MALE,,true,,19,Berghofen,"Auf dem Höchsten - schöne 2,5 Zimmer mit Fernblick über die Berghofer Mark / Schwerter Wald ",0.5,745,false,false,,search:ApartmentBuy,44267,Torsten,true,"Bei der zum Kauf angebotenen Immobilie handelt es sich um eine Dachgeschosswohnung in einem Mehrfamilienhaus mit insgesamt sieben Parteien. Das Objekt wurde 1970 erbaut und ist in einem gut gepflegten Zustand. Die Fassade des Gebäudes wurde erst kürzlich modernisiert und das gesamte Gebäude hinterlässt einen technisch und optisch einwandfreien Eindruck. 

Die Wohnung ist ab sofort verfügbar.",false,Homeday GmbH,6.5,9.685,false,60,Weinert,,https://pictures.immobilienscout24.de/usercontent/c3a054e0-03ff-4c96-a0ad-d7191b0f8a64.PNG,false,,,false,true,114238695,true,1970,1.5,Torsten Weinert,,2.235,,https://www.immobilienscout24.de/expose/114238695,,,,false,
,1,,2820.3,YES,3.57,2019-11-05T20:41:40.773+01:00,Buchert Immobilien& Verwaltung GmbH,,,M,,MALE,7.40954,true,,8,Eichlinghofen,Modernes Appartment in unmittelbarer Nähe zur TU Dortmund,0.5,395,false,false,,search:ApartmentBuy,44227,David,true,"Sehr schöner Appartmentkomplex mit 44 Einheiten + Tiefgarage.

Ein Stellplatz gehört NICHT zur Wohnung",false,Buchert Immobilien& Verwaltung GmbH,6.5,5.135,false,35,Buchert,,https://pictures.immobilienscout24.de/usercontent/936f8693-bec0-43c6-a57a-1bbe1b8b3a86.JPG,false,Dortmund Hansmannstraße 47,51.47995,false,true,114013917,false,1994,1.5,David Buchert,,1.185,,https://www.immobilienscout24.de/expose/114013917,,,,false,
"Wir bitten um Diskretion bei eigenständigen Vorbesichtigungen.

Mit dem Kauf einer Immobilie eröffnen sich oft Fragen die in keinem Exposé beantwortet werden und die beigefügten Bilder sollen Ihnen nur einen ersten Eindruck ermöglichen.

Gerne vereinbaren wir mit Ihnen einen persönlichen Besichtigungstermin und stehen Ihnen für alle Fragen zur Verfügung.Wir freuen uns auf Ihre Mail !

Unser Leistungsspektrum, beschränkt sich nicht nur auf den Verkauf von Immobilien, sondern umfasst noch zusätzlich die Bereiche Vermietung, Verwaltung.

Alle Angaben nach bestem Wissen, Baulasten nicht geprüft. Irrtum und Zwischenverkauf vorbehalten.

Dieses Exposé ist eine Vorinformation, als Rechtsgrundlage gilt allein der notariell abgeschlossene Kaufvertrag.
Angegebene Grundstücksgrößen  Wohn /Nutzflächen sowie das Baujahr sind vom Kaufinteressenten zu überprüfen, für die Genauigkeit übernehmen wir keine Verantwortung.
",3,,5950,YES,4.76,2019-11-05T20:41:40.773+01:00,Ernesti Immobilien,,,M,,MALE,7.51361,true,,8,Scharnhorst,Helle Maisonettewohnung mit Südbalkon zum Kauf!!!!!,0.5,625,true,false,,search:ApartmentBuy,44328,Ludger,true,"Wir bieten Ihnen hier eine schicke  79 m² große Eigentumswohnung auf zwei Etagen mit einem großzüzigen Südbalkon in einem gepflegten Familienhaus mit insgesamt 6 Einheiten zum Kauf an.

Die Wohnung befindet sich im Dachgeschoss des Hauses und erstreckt sich über zwei Etagen. Auf der unteren der zwei Dachgeschossetagen befinden sich ein Schlafzimmer sowie ein Wohnzimmer, die beide jeweils mit Parkett ausgelegt sind. Die Küche schließt sich offen zum Wohnraum hin. Ebenfalls vom Wohnraum aus kommen Sie auf den großzügigen etwa 1,20 m x 4,30 m großen Balkon mit Ausrichtung nach Süden. An die geflieste Diele schließt sich das mit Dusche ausgestattete Bad an. Die in der Diele befindliche Wendeltreppe führt in den als Atelier ausgebauten etwa 27 m² großen Spitzboden. Dieser großzügige Raum auf der obersten Etage ist mit hellem Laminat ausgelegt und verfügt über große Fenster die eine helle freundliche Atmosphäre mit viel Tageslicht herstellen. Die Beheizung erfolgt über eine separate abrechenbare Gasetagenheizung. 

",false,Ernesti Immobilien,6.5,8.125,false,79,Ernesti,,https://pictures.immobilienscout24.de/usercontent/b1be306a-38e1-46de-8dcd-71f79f690e75.PNG,false,Dortmund Wambeler Heide 31,51.53916,false,false,108959763,false,1991,1.5,Ludger Ernesti,,1.875,,https://www.immobilienscout24.de/expose/108959763,,,,false,
,3,,4200,YES,3.5,2019-11-05T20:41:40.773+01:00,Homeday GmbH,,,M,,MALE,,true,,9,Brechten,Ruhig gelegene 3-Zimmer-Erdgeschosswohnung im Vorort Brechten,0.5,600,false,false,,search:ApartmentBuy,44339,Torsten,true,,false,Homeday GmbH,6.5,7.8,false,70,Weinert,,https://pictures.immobilienscout24.de/usercontent/c3a054e0-03ff-4c96-a0ad-d7191b0f8a64.PNG,false,,,false,false,113933353,true,1971,1.5,Torsten Weinert,,1.8,,https://www.immobilienscout24.de/expose/113933353,,,,false,
