sku,title,URL,price,upc,discount
#102827,Spiral Notebook - Be Amazing,https://wholesale.primitivesbykathy.com/spiral-notebook-be-amazing-102827,$5.00,190134028275,$4.50
#36253,Socks - Kinda' Pissed About Not Being A Mermaid,https://wholesale.primitivesbykathy.com/socks-kinda-pissed-about-not-being-a-mermaid-36253,$4.75,883504362535,$4.28
#25149,Bottle Tag - Amateur,https://wholesale.primitivesbykathy.com/bottle-tag-amateur-25149,$1.75,883504251495,$1.57
#70247,Greeting Card - We're Family,https://wholesale.primitivesbykathy.com/greeting-card-were-family-70247,$1.25,883504702478,$1.12
#70377,Greeting Card - Golden,https://wholesale.primitivesbykathy.com/greeting-card-golden-70377,$1.25,883504703772,$1.12
#35519,Dish Towel - Happy Campers,https://wholesale.primitivesbykathy.com/dish-towel-happy-campers-35519,$4.00,883504355193,$3.60
#70470,Greeting Card - If you have to,https://wholesale.primitivesbykathy.com/greeting-card-if-you-have-to-70470,$1.25,883504704700,$1.12
#34077,Socks - She Will Conquer the World,https://wholesale.primitivesbykathy.com/socks-she-will-conquer-the-world-34077,$4.75,883504340779,$4.28
#70358,Greeting Card - Through So Much,https://wholesale.primitivesbykathy.com/greeting-card-through-so-much-70358,$1.25,883504703581,$1.12
#34222,Dish Towel - Dog Hair Is My Glitter,https://wholesale.primitivesbykathy.com/dish-towel-dog-hair-is-my-glitter-34222,$4.00,883504342223,$3.60
#70439,Greeting Card - Friendship,https://wholesale.primitivesbykathy.com/greeting-card-friendship-70439,$1.25,883504704397,$1.12
#101782,Inset Box Sign - Dream Big Spread Love,https://wholesale.primitivesbykathy.com/inset-box-sign-dream-big-spread-love-101782,$12.00,190134017828,$10.80
#102815,Block Sign - Do What Makes You Happy,https://wholesale.primitivesbykathy.com/block-sign-do-what-makes-you-happy-102815,$4.00,190134028152,$3.60
#103068,Dish Towel - Spread Seeds Of Happiness,https://wholesale.primitivesbykathy.com/dish-towel-spread-seeds-of-happiness-103068,$4.00,190134030681,$3.60
#*657,Med. Primitive American Flag,https://wholesale.primitivesbykathy.com/med-primitive-american-flag-657,$1.25,883504006576,$1.12
#36371,Wine Bottle Lights - White,https://wholesale.primitivesbykathy.com/wine-bottle-lights-white-36371,$6.00,883504363716,
#34191,Ornament Set - E,https://wholesale.primitivesbykathy.com/ornament-set-e-34191,$5.00,883504341912,$8.10
#34190,Ornament Set - C,https://wholesale.primitivesbykathy.com/ornament-set-c-34190,$8.00,883504341905,$8.10
